Ort_Name;ID_Bundesland;Bevoelkerungsstand_insgesamt;Bevoelkerungsstand_maennlich;Bevoelkerungsstand_weiblich;Kreise_und_Stadt
Groß-Gerau;6;280308;140349;139959;Landkreis
Hochtaunuskreis;6;239488;115782;123706;Kreis
Main-Kinzig-Kreis;6;430838;212330;218508;Kreis
Main-Taunus-Kreis;6;242420;118745;123675;Kreis
Odenwaldkreis;6;97577;48156;49421;Kreis
Offenbach;6;362137;178293;183844;Landkreis
Rheingau-Taunus-Kreis;6;189614;92814;96800;Kreis
Wetteraukreis;6;317298;157070;160228;Kreis
Gießen;6;278664;136879;141785;Landkreis
Lahn-Dill-Kreis;6;257289;126692;130597;Kreis
Limburg-Weilburg;6;174884;86675;88209;Landkreis
Marburg-Biedenkopf;6;249684;122463;127221;Landkreis
Vogelsbergkreis;6;106833;53254;53579;Kreis
Kassel;6;204202;99986;104216;kreisfreie Stadt
Fulda;6;227456;113060;114396;Landkreis
Hersfeld-Rotenburg;6;121566;60827;60739;Landkreis
Schwalm-Eder-Kreis;6;182595;91370;91225;Kreis
Waldeck-Frankenberg;6;159154;79226;79928;Landkreis
Werra-Meißner-Kreis;6;100208;49400;50808;Kreis
Koblenz;7;115268;56506;58762;kreisfreie Stadt
Ahrweiler;7;128161;63413;64748;Landkreis
Altenkirchen (Westerwald);7;131467;64960;66507;Landkreis
Bad Kreuznach;7;161307;78730;82577;Landkreis
Birkenfeld;7;81760;40508;41252;Landkreis
Cochem-Zell;7;62666;31329;31337;Landkreis
Mayen-Koblenz;7;218210;107696;110514;Landkreis
Neuwied;7;187440;92274;95166;Landkreis
Rhein-Hunsrück-Kreis;7;105566;52384;53182;Kreis
Rhein-Lahn-Kreis;7;124381;61390;62991;Kreis
Westerwaldkreis;7;206282;102170;104112;Kreis
Trier;7;112195;55489;56706;kreisfreie Stadt
Bernkastel-Wittlich;7;115099;57453;57646;Landkreis
Eifelkreis Bitburg-Prüm;7;103642;52202;51440;Kreis
Vulkaneifel;7;61769;30928;30841;Landkreis
Trier-Saarburg;7;153860;76695;77165;Landkreis
Frankenthal;7;49051;23923;25128;kreisfreie Stadt
Kaiserslautern;7;101228;50948;50280;kreisfreie Stadt
Landau in der Pfalz;7;47610;22627;24983;kreisfreie Stadt
Ludwigshafen am Rhein;7;174265;87539;86726;kreisfreie Stadt
Mainz;7;220552;107358;113194;kreisfreie Stadt
Neustadt an der Weinstraße;7;53981;26306;27675;kreisfreie Stadt
Pirmasens;7;40682;19921;20761;kreisfreie Stadt
Speyer;7;51368;25130;26238;kreisfreie Stadt
Worms;7;84646;41957;42689;kreisfreie Stadt
Zweibrücken;7;34534;17075;17459;kreisfreie Stadt
Alzey-Worms;7;132536;65697;66839;Landkreis
Bad Dürkheim;7;134546;65716;68830;Landkreis
Donnersbergkreis;7;76208;37684;38524;Kreis
Germersheim;7;130793;64990;65803;Landkreis
Kusel;7;71462;35694;35768;Landkreis
Südliche Weinstraße;7;112631;55379;57252;Landkreis
Rhein-Pfalz-Kreis;7;155921;76581;79340;Kreis
Mainz-Bingen;7;214948;105745;109203;Landkreis
Südwestpfalz;7;94899;46744;48155;Landkreis
Stuttgart;8;632865;315634;317231;Stadtkreis
Böblingen;8;398528;197762;200766;Landkreis
Esslingen;8;540226;269180;271046;Landkreis
Göppingen;8;261857;130139;131718;Landkreis
Ludwigsburg;8;551051;272828;278223;Landkreis
Rems-Murr-Kreis;8;432397;213396;219001;Landkreis
Heilbronn;8;128334;64610;63724;Stadtkreis
Hohenlohekreis;8;115063;57914;57149;Landkreis
Schwäbisch Hall;8;202834;101772;101062;Landkreis
Main-Tauber-Kreis;8;134745;67267;67478;Landkreis
Heidenheim;8;135035;67292;67743;Landkreis
Ostalbkreis;8;319631;159067;160564;Landkreis
Baden-Baden;8;57025;27240;29785;Stadtkreis
Karlsruhe;8;308707;157553;151154;Stadtkreis
Rastatt;8;234981;116683;118298;Landkreis
Heidelberg;8;162273;77561;84712;Stadtkreis
Mannheim;8;315554;157130;158424;Stadtkreis
Neckar-Odenwald-Kreis;8;145493;72949;72544;Landkreis
Rhein-Neckar-Kreis;8;555352;272531;282821;Landkreis
Pforzheim;8;127849;62926;64923;Stadtkreis
Calw;8;162853;81700;81153;Landkreis
Enzkreis;8;202536;100318;102218;Landkreis
Freudenstadt;8;121164;60561;60603;Landkreis
Freiburg;8;236140;112382;123758;Stadtkreis
Breisgau-Hochschwarzwald;8;269948;132897;137051;Landkreis
Emmendingen;8;170996;84495;86501;Landkreis
Ortenaukreis;8;441885;220341;221544;Landkreis
Rottweil;8;142593;71335;71258;Landkreis
Schwarzwald-Baar-Kreis;8;217181;107434;109747;Landkreis
Tuttlingen;8;144891;72930;71961;Landkreis
Konstanz;8;292568;141939;150629;Landkreis
Lörrach;8;233027;114220;118807;Landkreis
Waldshut;8;173460;85741;87719;Landkreis
Reutlingen;8;291696;144375;147321;Landkreis
Tübingen;8;232803;113022;119781;Landkreis
Zollernalbkreis;8;193235;95712;97523;Landkreis
Ulm;8;128928;63803;65125;Stadtkreis
Alb-Donau-Kreis;8;202476;101989;100487;Landkreis
Biberach;8;206513;104027;102486;Landkreis
Bodenseekreis;8;222712;109351;113361;Landkreis
Ravensburg;8;290911;144799;146112;Landkreis
Sigmaringen;8;134045;67381;66664;Landkreis
Ingolstadt;9;141029;71308;69721;kreisfreie Stadt
München;9;1512491;736806;775685;kreisfreie Stadt
Rosenheim;9;64403;31922;32481;kreisfreie Stadt
Altötting;9;113798;56238;57560;Landkreis
Berchtesgadener Land;9;107667;52850;54817;Landkreis
Bad Tölz-Wolfratshausen;9;129511;63758;65753;Landkreis
Dachau;9;156982;78276;78706;Landkreis
